,ingredients,explanation,reference
13687,propanediol-dicaprylate-caprate,"[""ExplainedWe don't have a description for Propanediol Dicaprylate/Caprate.""]",[]
13688,dimethyl-cystinate,"[""ExplainedWe don't have a description for Dimethyl Cystinate.""]",[]
13689,nicotiana-tabacum-leaf-oil,['ExplainedNicotiana Tabacum Leaf Oil is a fragrance and is an oil.'],[]
13690,neryl-formate,['ExplainedNeryl Formate is a fragrance.'],[]
13691,gelatin-lysine-polyacrylamide-hydroxypropyltrimonium-chloride,"[""ExplainedWe don't have a description for Gelatin/Lysine/Polyacrylamide Hydroxypropyltrimonium Chloride.""]",[]
13692,nereocystis-leutkeana-extract,"[""ExplainedWe don't have a description for Nereocystis Leutkeana Extract.""]",[]
13693,nerium-oleander-leaf-extract,"[""ExplainedWe don't have a description for Nerium Oleander Leaf Extract.""]",[]
13694,nicotiana-tabacum-leaf-extract,['ExplainedNicotiana Tabacum Leaf Extract is a fragrance.'],[]
13695,myristoyl-tetrapeptide-6,"[""ExplainedMyristoyl Tetrapeptide-6 isn't fungal acne safe and is a peptide.""]",[]
13696,myristoyl-tetrapeptide-46,"[""ExplainedMyristoyl Tetrapeptide-46 isn't fungal acne safe and is a peptide.""]",[]
13697,myristyl-cetyl-amine-oxide,"[""ExplainedWe don't have a description for Myristyl/Cetyl Amine Oxide.""]",[]
13698,myristoyl-pentapeptide-9,"[""ExplainedMyristoyl Pentapeptide-9 isn't fungal acne safe and is a peptide.""]",[]
13699,myristyl-salicylate,"[""ExplainedWe don't have a description for Myristyl Salicylate.""]",[]
13700,myristyl-pg-hydroxyethyl-decanamide,"[""ExplainedWe don't have a description for Myristyl-Pg Hydroxyethyl Decanamide.""]",[]
13701,myrrhis-odorata-extract,"[""ExplainedWe don't have a description for Myrrhis Odorata Extract.""]",[]
13702,myrtenyl-acetate,['ExplainedMyrtenyl Acetate is a fragrance.'],[]
13703,myristoyl-tripeptide-4,['ExplainedMyristoyl Tripeptide-4 is a peptide.'],[]
13704,myristoyl-tetrapeptide-4,"[""ExplainedMyristoyl Tetrapeptide-4 isn't fungal acne safe and is a peptide.""]",[]
13705,myristyl-lignocerate,"[""ExplainedWe don't have a description for Myristyl Lignocerate.""]",[]
13706,myroxylon-balsamum-balsam-extract,['ExplainedMyroxylon Balsamum Balsam Extract is a fragrance.'],[]
13707,myristyl-theobroma-grandiflorum-seedate,"[""ExplainedWe don't have a description for Myristyl Theobroma Grandiflorum Seedate.""]",[]
13708,myristyl-hydroxyethyl-imidazoline,"[""ExplainedWe don't have a description for Myristyl Hydroxyethyl Imidazoline.""]",[]
13709,myristyl-phosphate,"[""ExplainedWe don't have a description for Myristyl Phosphate.""]",[]
13710,myristyl-sultaine,"[""ExplainedWe don't have a description for Myristyl Sultaine.""]",[]
13711,myroxylon-balsamum-resin,"[""ExplainedWe don't have a description for Myroxylon Balsamum Resin.""]",[]
13712,myristylamidopropyl-dimethylamine-dimethicone-peg-7-phosphate,"[""ExplainedWe don't have a description for Myristylamidopropyl Dimethylamine Dimethicone Peg-7 Phosphate.""]",[]
13713,myroxylon-pereirae-resin-extract,"[""ExplainedWe don't have a description for Myroxylon Pereirae Resin Extract.""]",[]
13714,myrtus-communis-leaf-oil,['ExplainedMyrtus Communis Leaf Oil is a fragrance and is an oil.'],[]
13715,myristyl-ethylhexanoate,"[""ExplainedWe don't have a description for Myristyl Ethylhexanoate.""]",[]
13716,myristyl-methicone,['ExplainedMyristyl Methicone is a type of silicone.'],[]
13717,lactobacillus-pueraria-mirifica-root-ferment-filtrate,"[""ExplainedWe don't have a description for Lactobacillus/Pueraria Mirifica Root Ferment Filtrate.""]",[]
13718,myrtenyl-formate,['ExplainedMyrtenyl Formate is a fragrance.'],[]
13719,n-n-methylenebisacrylamide,"[""ExplainedWe don't have a description for N,N'-Methylenebisacrylamide.""]",[]
13720,n-adamantanoyl-dopamine,['ExplainedN-Adamantanoyl Dopamine is an antioxidant.'],[]
13721,n-coumaroyl-serotonin,"[""ExplainedWe don't have a description for N-Coumaroyl Serotonin.""]",[]
13722,n-hyaluronoyl-5-hydroxydopamine,"[""ExplainedWe don't have a description for N-Hyaluronoyl 5-Hydroxydopamine.""]",[]
13723,n-isopropyl-4-5-diamino-pyrazole-sulfate,"['ExplainedN-Isopropyl 4,5-Diamino Pyrazole Sulfate is a type of sulfate.']",[]
13724,n-nicotinoyl-tyramine,"[""ExplainedWe don't have a description for N-Nicotinoyl Tyramine.""]",[]
13725,n-valproyl-serinol,"[""ExplainedWe don't have a description for N-Valproyl Serinol.""]",[]
13726,narcissus-jonquilla-callus-extract,['ExplainedNarcissus Jonquilla Callus Extract is an antioxidant.'],[]
13727,narcissus-poeticus-extract,"[""ExplainedWe don't have a description for Narcissus Poeticus Extract.""]",[]
13728,myrtus-communis-stem-extraxt,['ExplainedMyrtus Communis Stem Extraxt is a fragrance.'],[]
13729,n-nicotinoyl-dopamine,"[""ExplainedWe don't have a description for N-Nicotinoyl Dopamine.""]",[]
13730,n-phenyl-p-phenylenediamine,"[""ExplainedWe don't have a description for N-Phenyl-P-Phenylenediamine.""]",[]
13731,nahocol-d,"[""ExplainedWe don't have a description for Nahocol D.""]",[]
13732,narcissus-jonquilla-flower-oil,['ExplainedNarcissus Jonquilla Flower Oil is a fragrance and is an oil.'],[]
13733,n-n-bis-2-hydroxyethyl-2-nitro-p-phenylenediamine,"[""ExplainedWe don't have a description for N,N'-Bis(2-Hydroxyethyl)-2-Nitro-P-Phenylenediamine.""]",[]
13734,n-caproyl-dopamine,['ExplainedN-Caproyl Dopamine is an antioxidant.'],[]
13735,n-feruloyl-dopamine,"[""ExplainedWe don't have a description for N-Feruloyl Dopamine.""]",[]
13736,n-palmitoyl-serinol,"[""ExplainedWe don't have a description for N-Palmitoyl Serinol.""]",[]
13737,n-acetyl-dihydrosphingosine,"[""ExplainedWe don't have a description for N-Acetyl Dihydrosphingosine.""]",[]
13738,narcissus-pseudonarcissus-flower-water,"[""ExplainedWe don't have a description for Narcissus Pseudonarcissus Flower Water.""]",[]
13739,narcissus-triandrus-extract,['ExplainedNarcissus Triandrus Extract is an antioxidant.'],[]
13740,n-palmitoyl-laurylacetylmethyl-aminopropanediol,"[""ExplainedWe don't have a description for N-Palmitoyl Laurylacetylmethyl Aminopropanediol.""]",[]
13741,naftalan-oil-extract,['ExplainedNaftalan Oil Extract is an oil.'],[]
13742,nannochloropsis-oceanica-powder,['ExplainedNannochloropsis Oceanica Powder is an antioxidant.'],[]
13743,narcissus-jonquilla-extract,"[""ExplainedWe don't have a description for Narcissus Jonquilla Extract.""]",[]
13744,narcissus-poeticus-flower-extract,['ExplainedNarcissus Poeticus Flower Extract is a fragrance.'],[]
13745,narirutin,['ExplainedNarirutin is an antioxidant.'],[]
13746,n-caproyl-lysine,"[""ExplainedWe don't have a description for N-Caproyl Lysine.""]",[]
13747,n-linoleoyl-serinol,"[""ExplainedWe don't have a description for N-Linoleoyl Serinol.""]",[]
13748,n-oleyl-hydroxyhexanamide,['ExplainedN-Oleyl Hydroxyhexanamide is a preservative.'],[]
13749,narcissus-jonquilla-flower-water,['ExplainedNarcissus Jonquilla Flower Water is a fragrance.'],[]
13750,narcissus-pseudonarcissus-root-extract,"[""ExplainedWe don't have a description for Narcissus Pseudonarcissus Root Extract.""]",[]
13751,nardostachys-chinensis-extract,"[""ExplainedWe don't have a description for Nardostachys Chinensis Extract.""]",[]
13752,nasturtium-officinale-flower-extract,['ExplainedNasturtium Officinale Flower Extract is a fragrance.'],[]
13753,nelumbo-nucifera-leaf-orostachys-japonica-saururus-chinensis-extract,"[""ExplainedWe don't have a description for Nelumbo Nucifera Leaf/Orostachys Japonica/Saururus Chinensis Extract.""]",[]
13754,nelumbo-nucifera-stamen-extract,"[""ExplainedWe don't have a description for Nelumbo Nucifera Stamen Extract.""]",[]
13755,neomenthol,['ExplainedNeomenthol is a fragrance.'],[]
13756,nelumbo-nucifera-flower-wax,"[""ExplainedWe don't have a description for Nelumbo Nucifera Flower Wax.""]",[]
13757,nelumbo-nucifera-leaf-orostachys-japonica-extract,"[""ExplainedWe don't have a description for Nelumbo Nucifera Leaf/Orostachys Japonica Extract.""]",[]
13758,nelumbo-nucifera-phytoplacenta-extract,"[""ExplainedWe don't have a description for Nelumbo Nucifera Phytoplacenta Extract.""]",[]
13759,neopentyl-glycol-dilaurate,"[""ExplainedWe don't have a description for Neopentyl Glycol Dilaurate.""]",[]
13760,nelumbo-nucifera-seed-oil,['ExplainedNelumbo Nucifera Seed Oil is an oil.'],[]
13761,melia-azadirachta-conditioned-media-culture,['ExplainedMelia Azadirachta Conditioned Media/Culture is an antioxidant.'],[]
13762,nelumbo-nucifera-germ-brassica-napus-rhynchosia-nulubilis-hordeum-vulgare-perilla-ocymoides-polygonum-fagopyrum-triticum-vulgare-sprout-extract,"[""ExplainedWe don't have a description for Nelumbo Nucifera Germ/(Brassica Napus/Rhynchosia Nulubilis/Hordeum Vulgare/Perilla Ocymoides/Polygonum Fagopyrum/Triticum Vulgare) Sprout Extract.""]",[]
13763,nelumbo-nucifera-leaf-cell-extract,"[""ExplainedWe don't have a description for Nelumbo Nucifera Leaf Cell Extract.""]",[]
13764,nelumbo-nucifera-stem-extract,['ExplainedNelumbo Nucifera Stem Extract is an antioxidant.'],[]
13765,nelumbo-nucifera-flower-leaf-stem-juice,['ExplainedNelumbo Nucifera Flower/Leaf/Stem Juice is an antioxidant.'],[]
13766,nonan-3-one,['ExplainedNonan-3-One is a fragrance.'],[]
13767,nelumbo-nucifera-leaf-cell-culture-powder,"[""ExplainedWe don't have a description for Nelumbo Nucifera Leaf Cell Culture Powder.""]",[]
13768,neolitsea-aciculata-stem-extract,['ExplainedNeolitsea Aciculata Stem Extract is an antioxidant.'],[]
13769,nelumbo-nucifera-flower-cera,"[""ExplainedWe don't have a description for Nelumbo Nucifera Flower Cera.""]",[]
13770,nauclea-orientalis-callus-extract,['ExplainedNauclea Orientalis Callus Extract is an antioxidant.'],[]
13771,nelumbo-nucifera-meristem-cell-culture-conditioned-media,"[""ExplainedWe don't have a description for Nelumbo Nucifera Meristem Cell Culture Conditioned Media.""]",[]
13772,neopentanal-butenyleneglycol-acetal,['ExplainedNeopentanal Butenyleneglycol Acetal is a fragrance.'],[]
13773,nepenthes-mirabilis-pitcher-extract,"[""ExplainedWe don't have a description for Nepenthes Mirabilis Pitcher Extract.""]",[]
13774,nematode-rh-polypeptide-47,['ExplainedNematode Rh-Polypeptide-47 is a peptide.'],[]
13775,neohesperidin,"[""ExplainedWe don't have a description for Neohesperidin.""]",[]
13776,nepeta-cataria,"[""ExplainedWe don't have a description for Nepeta Cataria.""]",[]
13777,nereocystis-luetkeana-extract,"[""ExplainedWe don't have a description for Nereocystis Luetkeana Extract.""]",[]
13778,nerolidol-isomers,['ExplainedNerolidol Isomers is a fragrance.'],[]
13779,neolepisorus-fortunei-rhizome-extract,"[""ExplainedWe don't have a description for Neolepisorus Fortunei Rhizome Extract.""]",[]
13780,fagraea-berteroana-flower-extract,"[""ExplainedWe don't have a description for Fagraea Berteroana Flower Extract.""]",[]
13781,neryl-butyrate,['ExplainedNeryl Butyrate is a fragrance.'],[]
13782,neosaxitoxin,['ExplainedNeosaxitoxin is an antioxidant.'],[]
13783,nepeta-cataria-oil,['ExplainedNepeta Cataria Oil is a fragrance and is an oil.'],[]
13784,c20-40-pareth-10,"[""ExplainedWe don't have a description for C20-40 Pareth-10.""]",[]
13785,nephelium-longana-fruit-extract,"[""ExplainedWe don't have a description for Nephelium Longana Fruit Extract.""]",[]
13786,nerol-oxide,['ExplainedNerol Oxide is a fragrance.'],[]
13787,neryl-propionate,['ExplainedNeryl Propionate is a fragrance.'],[]
13788,nephthea-columnaris-extract,"[""ExplainedWe don't have a description for Nephthea Columnaris Extract.""]",[]
13789,neryl-isovalerateate,['ExplainedNeryl Isovalerateate is a fragrance.'],[]
13790,myristoyl-pentapeptide-7,"[""ExplainedMyristoyl Pentapeptide-7 isn't fungal acne safe and is a peptide.""]",[]
13791,minoxidil-succinoyl-oligopeptide-143,['ExplainedMinoxidil Succinoyl Oligopeptide-143 is a peptide.'],[]
13792,mirodenafil,"[""ExplainedWe don't have a description for Mirodenafil.""]",[]
13793,mevalonoyl-tripeptide-1,['ExplainedMevalonoyl Tripeptide-1 is an antioxidant and is a peptide.'],[]
13794,michelia-alba-flower-extract,"[""ExplainedWe don't have a description for Michelia Alba Flower Extract.""]",[]
13795,micrococcus-panax-ginseng-root-ferment-filtrate,"[""ExplainedWe don't have a description for Micrococcus/Panax Ginseng Root Ferment Filtrate.""]",[]
13796,poly-1-2-butanediol-6-propylene-glycol,"[""ExplainedWe don't have a description for Poly 1,2-Butanediol-6 Propylene Glycol.""]",[]
13797,minkamidopropalkonium-chloride,"[""ExplainedWe don't have a description for Minkamidopropalkonium Chloride.""]",[]
13798,miconazole-nitrate,"[""ExplainedWe don't have a description for Miconazole Nitrate.""]",[]
13799,mimosa-pudica-leaf-extract,"[""ExplainedWe don't have a description for Mimosa Pudica Leaf Extract.""]",[]
13800,mimosa-tenuiflora-leaf-powder,"[""ExplainedWe don't have a description for Mimosa Tenuiflora Leaf Powder.""]",[]
13801,minoxidil-succinoyl-decapeptide-18,['ExplainedMinoxidil Succinoyl Decapeptide-18 is a peptide.'],[]
13802,mirabilis-jalapa-callus-culture-powder,"[""ExplainedWe don't have a description for Mirabilis Jalapa Callus Culture Powder.""]",[]
13803,mipa-dodecylbenzenesulfonate,"[""ExplainedWe don't have a description for Mipa-Dodecylbenzenesulfonate.""]",[]
13804,miyamayomena-koraiensis-leaf-stem-extract,"[""ExplainedWe don't have a description for Miyamayomena Koraiensis Leaf/Stem Extract.""]",[]
13805,momordica-grosvenorii-fruit-juice,"[""ExplainedWe don't have a description for Momordica Grosvenorii Fruit Juice.""]",[]
13806,microbacterium-panax-ginseng-root-ferment-filtrate,"[""ExplainedWe don't have a description for Microbacterium/Panax Ginseng Root Ferment Filtrate.""]",[]
13807,micrococcus-lysate-filtrate,['ExplainedMicrococcus Lysate Filtrate is an antioxidant.'],[]
13808,microglena-reginae,"[""ExplainedWe don't have a description for Microglena Reginae.""]",[]
13809,mimosa-pudica-flower-water,['ExplainedMimosa Pudica Flower Water is a fragrance.'],[]
13810,mimusops-elengi-flower-extract,"[""ExplainedWe don't have a description for Mimusops Elengi Flower Extract.""]",[]
13811,minkamidopropyl-dimethylamine,"[""ExplainedWe don't have a description for Minkamidopropyl Dimethylamine.""]",[]
13812,minoxidil-oxothiazolidinecarboxylate,"[""ExplainedWe don't have a description for Minoxidil Oxothiazolidinecarboxylate.""]",[]
13813,mipa-c12-14-sec-pareth-3-acetate,"[""ExplainedWe don't have a description for Mipa-C12-14 Sec-Pareth-3 Acetate.""]",[]
13814,minkamidopropyl-betaine,"[""ExplainedWe don't have a description for Minkamidopropyl Betaine.""]",[]
13815,monascus-hippophae-rhamnoides-fruit-soybean-extract-ferment-filtrate,"[""ExplainedWe don't have a description for Monascus/Hippophae Rhamnoides Fruit/Soybean Extract Ferment Filtrate.""]",[]
13816,miscanthus-sinensis-extract,"[""ExplainedWe don't have a description for Miscanthus Sinensis Extract.""]",[]
13817,molybdenum-chloride,"[""ExplainedWe don't have a description for Molybdenum Chloride.""]",[]
13818,momordica-charantia-fruit-powder,"[""ExplainedWe don't have a description for Momordica Charantia Fruit Powder.""]",[]
13819,monascus-pilosus-ferment-filtrate,"[""ExplainedWe don't have a description for Monascus Pilosus Ferment Filtrate.""]",[]
13820,miscanthus-sinensis-flower-extract,"[""ExplainedWe don't have a description for Miscanthus Sinensis Flower Extract.""]",[]
13821,molybdenum-aspartate,"[""ExplainedWe don't have a description for Molybdenum Aspartate.""]",[]
13822,monascus-argania-spinosa-kernel-ferment-extract,"[""ExplainedWe don't have a description for Monascus/Argania Spinosa Kernel Ferment Extract.""]",[]
13823,monarda-fistulosa,"[""ExplainedWe don't have a description for Monarda Fistulosa.""]",[]
13824,monascus-meconopsis-horridula-flower-rice-bran-ferment-filtrate,['ExplainedMonascus/Meconopsis Horridula Flower/Rice Bran Ferment Filtrate is an antioxidant.'],[]
13825,monazite,"[""ExplainedWe don't have a description for Monazite.""]",[]
13826,momordica-charantia-extract,"[""ExplainedWe don't have a description for Momordica Charantia Extract.""]",[]
13827,momordica-cochinchinensis-seed-aril-powder,['ExplainedMomordica Cochinchinensis Seed Aril Powder is an antioxidant.'],[]
13828,monarda-didyma-flower-extract,"[""ExplainedWe don't have a description for Monarda Didyma Flower Extract.""]",[]
13829,monarda-fistulosa-extract,['ExplainedMonarda Fistulosa Extract is a preservative.'],[]
13830,monascus-angelica-keiskei-leaf-soybean-ferment-filtrate,['ExplainedMonascus/Angelica Keiskei Leaf/Soybean Ferment Filtrate is an antioxidant.'],[]
13831,monascus-cornus-officinalis-fruit-rice-bran-ferment-filtrate,"[""ExplainedWe don't have a description for Monascus/Cornus Officinalis Fruit/Rice Bran Ferment Filtrate.""]",[]
13832,momordica-cochinchinensis-seed-aril-oil,['ExplainedMomordica Cochinchinensis Seed Aril Oil is an antioxidant and is an oil.'],[]
13833,monascus-euterpe-oleracea-fruit-rice-bran-ferment-filtrate,['ExplainedMonascus/Euterpe Oleracea Fruit/Rice Bran Ferment Filtrate is an antioxidant.'],[]
13834,musk-xylene,['ExplainedMusk Xylene is a fragrance.'],[]
13835,monascus-neofinetia-falcata-flower-rice-bran-ferment-filtrate,['ExplainedMonascus/Neofinetia Falcata Flower/Rice Bran Ferment Filtrate is an antioxidant.'],[]
13836,morella-pensylvanica-leaf-oil,['ExplainedMorella Pensylvanica Leaf Oil is an oil.'],[]
13837,monascus-brassica-napus-seed-oil-ferment,"[""ExplainedMonascus/Brassica Napus Seed Oil Ferment is an oil and isn't fungal acne safe.""]",[]
13838,monascus-dioscorea-japonica-root-ferment,"[""ExplainedWe don't have a description for Monascus/Dioscorea Japonica Root Ferment.""]",[]
13839,moray-eel-oil,['ExplainedMoray Eel Oil is an oil.'],[]
13840,musa-nana-fruit-extract,"[""ExplainedWe don't have a description for Musa Nana Fruit Extract.""]",[]
13841,mucidosphaerium-pulchellum-extract,"[""ExplainedWe don't have a description for Mucidosphaerium Pulchellum Extract.""]",[]
13842,monascus-paeonia-suffruticosa-flower-rice-bran-ferment-filtrate,"[""ExplainedWe don't have a description for Monascus/Paeonia Suffruticosa Flower/Rice Bran Ferment Filtrate.""]",[]
13843,monosaccharide-lactate-condensate,"[""ExplainedWe don't have a description for Monosaccharide Lactate Condensate.""]",[]
13844,montan-acid-wax,"[""ExplainedWe don't have a description for Montan Acid Wax.""]",[]
13845,morinda-citrifolia-adventitious-root-culture-extract,"[""ExplainedWe don't have a description for Morinda Citrifolia Adventitious Root Culture Extract.""]",[]
13846,morinda-citrifolia-oil,"[""ExplainedMorinda Citrifolia Oil is an oil and isn't fungal acne safe.""]",[]
13847,moringa-oleifera-seedcake-extract,"[""ExplainedWe don't have a description for Moringa Oleifera Seedcake Extract.""]",[]
13848,montan-cera,"[""ExplainedWe don't have a description for Montan Cera.""]",[]
13849,morinda-citrifolia-leaf-cell-culture-extract,"[""ExplainedWe don't have a description for Morinda Citrifolia Leaf Cell Culture Extract.""]",[]
13850,morinda-citrifolia-phytoplacenta-extract,['ExplainedMorinda Citrifolia Phytoplacenta Extract is an antioxidant.'],[]
13851,morinda-officinalis-root-extract,['ExplainedMorinda Officinalis Root Extract is an antioxidant.'],[]
13852,moringa-oleifera-fruit-powder,['ExplainedMoringa Oleifera Fruit Powder is an exfoliant.'],[]
13853,myrcenol,"[""ExplainedWe don't have a description for Myrcenol.""]",[]
13854,morpholinomethylphenyl-hydroxyphenylamino-thienopyridine,"[""ExplainedWe don't have a description for Morpholinomethylphenyl Hydroxyphenylamino Thienopyridine.""]",[]
13855,morus-alba-bark-portulaca-oleracea-leaf-stem-angelica-dahurica-root-apricot-seed-chestnut-shell-extract,"[""ExplainedWe don't have a description for Morus Alba Bark/(Portulaca Oleracea Leaf/Stem)/Angelica Dahurica Root/Apricot Seed/Chestnut Shell Extract.""]",[]
13856,morus-alba-bark-pinus-densiflora-leaf-angelica-gigas-cnidium-officinale-licorice-sophora-flavescens-root-acorus-gramineus-stem-extract,"[""ExplainedWe don't have a description for Morus Alba Bark/Pinus Densiflora Leaf/(Angelica Gigas/Cnidium Officinale/Licorice/Sophora Flavescens Root)/Acorus Gramineus Stem Extract.""]",[]
13857,morus-alba-stem-extract,"[""ExplainedWe don't have a description for Morus Alba Stem Extract.""]",[]
13858,mosla-dianthera-extract,"[""ExplainedWe don't have a description for Mosla Dianthera Extract.""]",[]
13859,muhlenbergia-capillaris-extract,"[""ExplainedWe don't have a description for Muhlenbergia Capillaris Extract.""]",[]
13860,murraya-exotica-wood-powder,"[""ExplainedWe don't have a description for Murraya Exotica Wood Powder.""]",[]
13861,musa-acuminata-fruit-water,"[""ExplainedWe don't have a description for Musa Acuminata Fruit Water.""]",[]
13862,morpholinopropane-sulfonic-acid,"[""ExplainedWe don't have a description for Morpholinopropane Sulfonic Acid.""]",[]
13863,morus-alba-callus-culture-extract,"[""ExplainedWe don't have a description for Morus Alba Callus Culture Extract.""]",[]
13864,moth-cocoon-extract,"[""ExplainedWe don't have a description for Moth Cocoon Extract.""]",[]
13865,mucor-circinelloides-glycerides,"[""ExplainedWe don't have a description for Mucor Circinelloides Glycerides.""]",[]
13866,mudstone-powder,['ExplainedMudstone Powder is an exfoliant.'],[]
13867,morus-alba-leaf-powder,"[""ExplainedWe don't have a description for Morus Alba Leaf Powder.""]",[]
13868,morus-bombycis-wood-extract,['ExplainedMorus Bombycis Wood Extract is an antioxidant.'],[]
13869,murraya-koenigii-leaf-oil,['ExplainedMurraya Koenigii Leaf Oil is a preservative and is an oil.'],[]
13870,musa-balbisiana-fruit-extract,['ExplainedMusa Balbisiana Fruit Extract is an antioxidant.'],[]
13871,myreth-3-caprate,"[""ExplainedWe don't have a description for Myreth-3 Caprate.""]",[]
13872,myreth-3-palmitate,"[""ExplainedWe don't have a description for Myreth-3 Palmitate.""]",[]
13873,muskrat-musk,['ExplainedMuskrat Musk is a fragrance.'],[]
13874,myreth-2-myristate,"[""ExplainedMyreth-2 Myristate isn't fungal acne safe.""]",[]
13875,myricitrin,['ExplainedMyricitrin is an antioxidant.'],[]
13876,mycoleptodonoides-aitchisonii-mycelium-extract,"[""ExplainedWe don't have a description for Mycoleptodonoides Aitchisonii Mycelium Extract.""]",[]
13877,myrcenyl-acetate,['ExplainedMyrcenyl Acetate is a fragrance.'],[]
13878,myrciaria-dubia-seed-extract,"[""ExplainedWe don't have a description for Myrciaria Dubia Seed Extract.""]",[]
13879,myreth-3-laurate,"[""ExplainedWe don't have a description for Myreth-3 Laurate.""]",[]
13880,myrica-cerifera-fruit-bark-extract,"[""ExplainedWe don't have a description for Myrica Cerifera Fruit/Bark Extract.""]",[]
13881,myristamide-mipa,"[""ExplainedWe don't have a description for Myristamide Mipa.""]",[]
13882,myrica-pubescens-fruit-cera,"[""ExplainedWe don't have a description for Myrica Pubescens Fruit Cera.""]",[]
13883,myristalkonium-saccharinate,['ExplainedMyristalkonium Saccharinate is a preservative.'],[]
13884,myristaminopropionic-acid,"[""ExplainedWe don't have a description for Myristaminopropionic Acid.""]",[]
13885,mustelic-palmitic-triglyceride,"[""ExplainedWe don't have a description for Mustelic/Palmitic Triglyceride.""]",[]
13886,myristoyl-octapeptide-31,['ExplainedMyristoyl Octapeptide-31 is a peptide.'],[]
13887,mustela-cera,"[""ExplainedWe don't have a description for Mustela Cera.""]",[]
13888,myrcia-polyantha-leaf-oil,['ExplainedMyrcia Polyantha Leaf Oil is an oil.'],[]
13889,myreth-10,"[""ExplainedWe don't have a description for Myreth-10.""]",[]
13890,myreth-3-carboxylic-acid,"[""ExplainedWe don't have a description for Myreth-3 Carboxylic Acid.""]",[]
13891,myrica-gale-flower-fruit-leaf-twig-extract,"[""ExplainedWe don't have a description for Myrica Gale Flower/Fruit/Leaf/Twig Extract.""]",[]
13892,myristica-fragrans-fruit-extract,['ExplainedMyristica Fragrans Fruit Extract is a fragrance.'],[]
13893,myristyl-acetate,"[""ExplainedWe don't have a description for Myristyl Acetate.""]",[]
13894,myristica-fragrans-kernel-extract,"[""ExplainedWe don't have a description for Myristica Fragrans Kernel Extract.""]",[]
13895,myricetin-sesquipropionate,"[""ExplainedWe don't have a description for Myricetin Sesquipropionate.""]",[]
13896,myrist-palmitamidobutyl-guanidine-acetate,"[""ExplainedWe don't have a description for Myrist/Palmitamidobutyl Guanidine Acetate.""]",[]
13897,myristamidopropyl-dimethylamine,"[""ExplainedWe don't have a description for Myristamidopropyl Dimethylamine.""]",[]
13898,myristoyl-dipeptide-12-amide,['ExplainedMyristoyl Dipeptide-12 Amide is a peptide.'],[]
13899,myristoyl-hexapeptide-12,['ExplainedMyristoyl Hexapeptide-12 is a peptide.'],[]
13900,myricetin-sesquicaprylate,"[""ExplainedWe don't have a description for Myricetin Sesquicaprylate.""]",[]
13901,myriophyllum-verticillatum-extract,"[""ExplainedWe don't have a description for Myriophyllum Verticillatum Extract.""]",[]
13902,myristamidopropalkonium-chloride,"[""ExplainedWe don't have a description for Myristamidopropalkonium Chloride.""]",[]
13903,abalone-extract,"[""ExplainedWe don't have a description for Abalone Extract.""]",[]
13904,myristamide-dea,"[""ExplainedWe don't have a description for Myristamide Dea.""]",[]
13905,myristica-fragrans-shell-powder,['ExplainedMyristica Fragrans Shell Powder is an exfoliant.'],[]
13906,myristoyl-octapeptide-1,['ExplainedMyristoyl Octapeptide-1 is a peptide.'],[]
13907,myristoyl-hexapeptide-13,['ExplainedMyristoyl Hexapeptide-13 is a peptide.'],[]
13908,myristoyl-hexapeptide-4,['ExplainedMyristoyl Hexapeptide-4 is a peptide.'],[]
13909,myristoyl-hydrolyzed-collagen,['ExplainedMyristoyl Hydrolyzed Collagen can help to reduce the effects of aging.'],[]
13910,myristica-fragrans-seed,"[""ExplainedWe don't have a description for Myristica Fragrans Seed.""]",[]
13911,myristamidopropyl-hydroxysultaine,"[""ExplainedWe don't have a description for Myristamidopropyl Hydroxysultaine.""]",[]
13912,myristoyl-hexapeptide-14,['ExplainedMyristoyl Hexapeptide-14 is a peptide.'],[]
13913,myristoyl-succinoyl-atelocollagen,['ExplainedMyristoyl Succinoyl Atelocollagen can help to reduce the effects of aging.'],[]
13914,myristoyl-tetrapeptide-41,"[""ExplainedMyristoyl Tetrapeptide-41 isn't fungal acne safe and is a peptide.""]",[]
13915,ulva-pertusa-extract,"[""ExplainedWe don't have a description for Ulva Pertusa Extract.""]",[]
13916,myristoyl-sarcosine,"[""ExplainedWe don't have a description for Myristoyl Sarcosine.""]",[]
13917,myristyl-carpotroche-brasiliensis-seedate,"[""ExplainedWe don't have a description for Myristyl Carpotroche Brasiliensis Seedate.""]",[]
13918,methoxyphenylamino-phenylpyrazole,"[""ExplainedWe don't have a description for Methoxyphenylamino Phenylpyrazole.""]",[]
13919,methoxypropylgluconamide,"[""ExplainedWe don't have a description for Methoxypropylgluconamide.""]",[]
13920,methyl-2-6-10-trimethylcyclododeca-2-5-9-trienyl-ketone,"['ExplainedMethyl 2,6,10-Trimethylcyclododeca-2,5,9-Trienyl Ketone is a fragrance.']",[]
13921,methyl-alpha-ionone-isomers,['ExplainedMethyl Alpha-Ionone Isomers is a fragrance.'],[]
13922,methyl-coco-glucosides,"[""ExplainedWe don't have a description for Methyl Coco-Glucosides.""]",[]
13923,methyl-cyclopentylideneacetate,['ExplainedMethyl Cyclopentylideneacetate is a fragrance.'],[]
13924,methyl-dimethyloctadienoate,['ExplainedMethyl Dimethyloctadienoate is a fragrance.'],[]
